block_number,sqrt_price_x96
12509859,1488666029357725662978369934166891
12512259,1498758880028447235204616864140268
12514659,1527428496431482073729729059235451
12517059,1480447266659661332123963148536664
12519459,1510557878125983516937970465170106
12521859,1563410596518750073589500127639117
12524259,1585501632264840651461398646757001
12526659,1583892880056122627136239221298865
12529059,1601246141877230943575608429687163
12531459,1674767595764110141430162356094226
12533859,1635947132905975451630202211964426
12536259,1626443231001094812585317081976838
12538659,1620366257605301594604235198780872
12541059,1601227366628863183012089659225343
12543459,1553690336280231106698063187334497
12545859,1537420070121765351155628943411929
12548259,1552677774437372221939869994276359
12550659,1570530689742511652330700958004745
12553059,1544798014002059206438951568559573
12555459,1515772437652340286963984307445712
12557859,1527098961902500021862405261058618
12560259,1490516034720810649524168535953199
12562659,1487614631878357660260398370759469
12565059,1516168608827318894313297354856697
12567459,1543138097399621374462068500331630
12569859,1525803439661250647865737124407103
12572259,1504180662084025880222491694181889
12574659,1544906800078159393124825034880969
12577059,1562293821355182601722993334411760
12579459,1532668189019840680339410057748670
12581859,1521108384478401957483349728533824
12584259,1513510343522908287657755482999768
12586659,1502864160405028288259857368191254
12589059,1524052293464620847527048659251378
12591459,1593086906386274233095553851320563
12593859,1577985771264653883944066530000000
12596259,1578270599864263264211425108000000
12598659,1591911464962257367600390559778196
12601059,1577608119717847907970216564342710
12603459,1554407504565294788344253435818205
12605859,1580789497156158136196554328707986
12608259,1594976800454608457535729165603296
12610659,1608121229829442916633246988239669
12613059,1594747269487510285090466685108561
12615459,1617848840808411083481281687295167
12617859,1654831395941440143943685144058243
12620259,1609865320426412674199245174377825
12622659,1620123943500198954833638868990236
12625059,1630652382011757741498467728621829
12627459,1618040818607001470034787370492493
12629859,1582580533454123304288131698786794
12632259,1589624693967538207427490163832213
12634659,1570858439028580535920216129135359
12637059,1544561173402223062182431357192712
12639459,1561261378513999999977694933050634
12641859,1567869560532207919829836122059511
12644259,1573485554513089208764185786298873
12646659,1612206679618573717830468545491834
12649059,1615086429305755076037922599294693
12651459,1604509637080135463962586901172512
12653859,1638155635018922085450253363423543
12656259,1638002372594665609546783240563925
12658659,1662337938160329276886431142008430
12661059,1685169155950608214827862017911376
12663459,1681379766052384380258771488613815
12665859,1676500004284489227192898315192643
12668259,1697284062730020593418713364032352
12670659,1717956664681556588462562057015128
12673059,1702008642003481975200459717366666
12675459,1713768104926664329198104985003767
12677859,1790225416009019096514791379689875
12680259,1813315363178615813201331315206946
12682659,1800665065219811375166952214027843
12685059,1810197194963024569799080385473325
12687459,1787134785891645308464824646164276
12689859,1774908180195944027183384900756713
12692259,1792266892466793844337727654000000
12694659,1809011666339862097585005913398757
12697059,1789926427195938953119613662529712
12699459,1775555640232037942896068925006302
12701859,1791372002202115712486115692441522
12704259,1855115595440676387861453506177049
12706659,1860653768545165495237206333629531
12709059,1882685075751116586695532614736117
12711459,1874102110470662294104096355516396
12713859,1826753655406023053514216090000000
12716259,1839078115659126742017037309798521
12718659,1846027204046494436761911531281539
12721059,1778115221546859147898107418683842
12723459,1719756559185631508158455783403756
12725859,1716956875025604064609428149883294
12728259,1703654520228398714483022850885263
12730659,1680640047287550581065562079927062
12733059,1717029256530615716021149592935830
12735459,1710854707392500168923714780178562
12737859,1662303236586913031531308670224203
12740259,1700483812403835573161740840661006
12742659,1720005165406454631973077000454240
12745059,1717447584736829384657208439556191
12747459,1753196384950769768475425096435945
12749859,1730213729023943033261528300176445
12752259,1716769704427771861715037646529913
12754659,1682065043153308315325802286179561
12757059,1680902346508762072060680803832216
12759459,1659205690373330542222157050701815
12761859,1643498721994417091803290575702214
12764259,1645907569567080623720127318811263
